date,count
2025-01-17,19406
2025-01-16,19406
2025-01-17,19432
2025-01-18,19438
2025-01-19,23622
2025-01-20,29309
2025-01-21,32097
2025-01-22,32109
2025-01-23,32141
2025-01-24,32142
2025-01-25,32153
2025-01-26,32356
2025-01-27,32451
2025-01-28,32469
2025-01-29,32705
2025-01-30,32718
2025-01-31,32743
2025-02-01,32821
2025-02-02,32840
2025-02-03,32881
2025-02-04,32883
2025-02-05,32893
2025-02-06,32954
2025-02-07,33014
2025-02-08,33239
2025-02-09,33429
2025-02-10,33526
2025-02-11,33721
2025-02-12,33780
2025-02-13,38775
2025-02-14,38886
2025-02-15,38918
2025-02-16,38966
2025-02-17,39023
2025-02-18,39023
2025-02-19,39027
2025-02-20,39027
2025-02-21,39029
2025-02-22,39043
2025-02-23,45238
2025-02-24,45253
2025-02-25,45447
2025-02-26,45459
2025-02-27,45459
2025-02-28,45459
2025-03-01,45552
2025-03-02,45578
2025-03-03,46966
2025-03-04,47121
2025-03-05,47174
2025-03-06,47208
2025-03-07,47504
2025-03-08,47644
2025-03-09,47835
2025-03-10,47915
2025-03-11,48068
2025-03-12,48341
2025-03-13,48357
2025-03-14,48463
2025-03-15,48515
2025-03-16,48666
2025-03-17,48669
2025-03-18,48673
2025-03-19,48686
2025-03-20,48695
2025-03-21,48772
2025-03-22,48802
2025-03-23,48802
2025-03-24,48931
2025-03-25,48986
2025-03-26,49036
2025-03-27,49302
2025-03-28,49329
2025-03-29,49329
2025-03-30,49462
2025-03-31,49513
2025-04-01,49581
2025-04-02,49651
2025-04-03,49666
2025-04-04,49914
2025-04-05,50299
2025-04-06,50299
2025-04-07,50329
2025-04-08,50346
2025-04-09,50377
2025-04-10,50377
2025-04-11,50453
2025-04-12,50622
2025-04-13,50625
2025-04-14,50636
2025-04-15,50690
2025-04-16,50697
2025-04-17,50849
2025-04-18,50849
2025-04-19,50851
2025-04-20,51583
